year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
2007,1,3,3,0,2174,2426,attached,508,0,TRUE,FALSE,TRUE,TRUE,867,Reyes Radial,,Lake Christinaport,11203,274681
2007,1,3,3,0,2169,2434,attached,509,0,TRUE,FALSE,TRUE,TRUE,719,James Motorway,,Lake Christinaport,11203,289801
1993,1,3,2,0,1646,1648,attached,402,0,TRUE,TRUE,TRUE,TRUE,760,Chris Vista,,Lake Christinaport,11203,225538
1973,1,2,1,0,835,865,none,0,0,FALSE,FALSE,TRUE,TRUE,45691,Steven Hollow,1063,Lake Christinaport,11203,56698
1989,1,3,2,0,2191,2188,attached,469,0,TRUE,FALSE,TRUE,TRUE,96285,James Isle,,Lake Christinaport,11203,277197
1972,1,2,1,1,1837,2460,attached,504,0,TRUE,FALSE,TRUE,TRUE,70518,Charles Plain,,Lake Christinaport,11203,144901
1990,1,2,2,0,1689,2193,attached,503,0,TRUE,TRUE,TRUE,TRUE,99496,Baldwin Centers,,Lake Christinaport,11203,204746
2003,1,3,2,0,2053,2460,attached,753,0,TRUE,FALSE,TRUE,TRUE,2923,Steven Hollow,,Lake Christinaport,11549,281614
1992,1,3,1,1,1636,2330,attached,482,0,TRUE,FALSE,TRUE,TRUE,50223,Warner Underpass,,Lake Christinaport,11203,233103
1979,1,3,2,1,1908,1912,attached,397,0,TRUE,FALSE,TRUE,TRUE,9025,Kristen Inlet,,Lake Christinaport,11203,239396
2007,1,2,2,0,1311,1694,detached,206,0,TRUE,FALSE,TRUE,TRUE,397,Cox Way,,West Ann,10748,311217
2005,1,3,3,0,1703,2111,none,0,0,TRUE,FALSE,TRUE,TRUE,819,Chapman Crescent,,West Ann,10748,434697
2000,2,2,3,0,1670,1830,none,0,0,TRUE,FALSE,TRUE,TRUE,313,Jacob Spring,,West Ann,10748,1140298
2005,1,5,5,0,5478,7433,attached,1118,0,TRUE,TRUE,TRUE,TRUE,3723,Williams Vista,,Richardport,11619,3213004
2003,1,3,2,1,4078,5034,detached,925,0,TRUE,TRUE,TRUE,TRUE,967,Anthony Crest,,West Ann,10748,1354501
1986,1,2,2,0,1390,1642,detached,466,0,TRUE,FALSE,TRUE,TRUE,155,Robin Passage,,West Ann,10748,491401
1973,1,2,2,1,2195,3352,detached,507,0,FALSE,FALSE,TRUE,TRUE,5518,Scott Road,,West Ann,10748,321298
1973,1,2,2,1,2205,3264,detached,505,0,FALSE,FALSE,TRUE,TRUE,8466,Scott Road,,West Ann,10748,466199
1981,1,2,2,0,1395,1641,detached,465,0,TRUE,FALSE,TRUE,TRUE,6825,Gary Pine,,West Ann,10748,378002
1986,1,2,2,0,1393,1637,detached,470,0,TRUE,FALSE,TRUE,TRUE,9620,Rodgers Square,,West Ann,10748,378004
1983,2,2,2,1,1742,1893,attached,421,0,TRUE,FALSE,TRUE,TRUE,89,Travis Inlet,,West Ann,10748,422103
2006,1,4,4,1,5980,7330,attached,849,0,TRUE,TRUE,TRUE,TRUE,5264,James Islands,,Richardport,11619,3433500
1990,1,3,2,0,1327,1483,attached,465,0,FALSE,FALSE,FALSE,TRUE,7339,Matthew Plains,,Lake Christinaport,11549,157501
2006,1,4,2,1,1893,1905,attached,442,0,TRUE,FALSE,TRUE,TRUE,7953,Roy Lock,,Lake Christinaport,11549,245698
2005,1,3,2,1,1889,1888,attached,442,0,TRUE,TRUE,TRUE,TRUE,4232,Parker Shores,,Lake Christinaport,11549,315003
1993,1,3,2,0,1098,2137,attached,320,0,FALSE,FALSE,TRUE,TRUE,5691,Wiggins Isle,,Lake Christinaport,11203,146159
1991,1,3,1,0,997,994,attached,322,0,FALSE,FALSE,FALSE,FALSE,8,Stone Points,,Lake Christinaport,11203,144903
1989,1,3,1,0,1031,1031,attached,323,0,FALSE,FALSE,TRUE,TRUE,521,Anthony Mountains,,Lake Christinaport,11203,126001
1953,1,1,0,1,327,505,none,0,0,FALSE,FALSE,FALSE,FALSE,522,Schultz Radial,,Lake Christinaport,11203,352804
1958,1,2,2,0,1455,1856,none,0,213,FALSE,FALSE,FALSE,FALSE,522,Schultz Radial,,Lake Christinaport,11203,352799
1958,1,3,1,0,1487,1905,detached,233,0,FALSE,FALSE,FALSE,FALSE,522,Schultz Radial,,Lake Christinaport,11203,352800
1968,1,2,2,0,1387,2557,none,0,624,FALSE,FALSE,TRUE,TRUE,522,Schultz Radial,,Lake Christinaport,11203,352800
2006,1,3,2,0,2088,2436,attached,576,0,TRUE,FALSE,TRUE,TRUE,222,Taylor Mills,,Lake Christinaport,11203,233097
2005,1,3,2,0,1898,2139,attached,716,0,TRUE,FALSE,TRUE,TRUE,1945,Dylan Port,,Lake Christinaport,11203,270901
1991,1,2,2,0,1242,1250,none,0,832,FALSE,FALSE,TRUE,TRUE,7125,Sanders Inlet,3882,Lake Christinaport,11203,42840
2005,1,3,2,1,2744,3015,attached,687,0,TRUE,TRUE,TRUE,TRUE,6000,Angela Harbor,,Lake Christinaport,11203,459898
1955,1,1,0,1,813,980,detached,700,0,FALSE,FALSE,FALSE,FALSE,624,William Valley,,Lake Christinaport,11203,126001
2008,1,4,3,0,2395,2516,attached,448,0,TRUE,FALSE,TRUE,TRUE,136,Patricia Crescent,,Lake Christinaport,11203,239401
1960,1,2,2,0,2190,3046,none,0,319,TRUE,FALSE,FALSE,FALSE,45384,Anthony Mountains,,Lake Christinaport,11203,100803
1980,2,2,1,1,1423,1531,attached,451,0,TRUE,TRUE,TRUE,TRUE,5837,Samantha Park,,Lewishaven,11980,362252
1978,1,2,2,0,1419,2004,attached,621,0,FALSE,FALSE,TRUE,TRUE,3323,Samantha Park,,Lewishaven,11980,522899
1978,1,2,2,0,1623,2567,attached,554,0,TRUE,FALSE,TRUE,TRUE,997,Shawn Tunnel,,Lewishaven,11980,932401
1975,1,2,1,1,1163,1530,none,0,257,FALSE,FALSE,TRUE,TRUE,600,Randall Divide,,Lewishaven,11980,308703
1976,1,2,2,0,1251,1806,detached,409,379,FALSE,FALSE,TRUE,TRUE,3576,Erica Stravenue,,Lewishaven,11980,367919
1975,2,2,2,1,1853,2143,none,0,241,FALSE,FALSE,TRUE,TRUE,28870,Webb Burg,,Lewishaven,11980,351540
1975,2,2,2,1,1858,2141,none,0,243,FALSE,FALSE,TRUE,TRUE,73102,Cook Islands,,Lewishaven,11980,378002
1999,1,4,3,1,4434,4651,attached,773,0,TRUE,TRUE,TRUE,TRUE,81660,Robinson Summit,,Lewishaven,11980,1669497
1982,1,2,1,1,1280,1530,detached,385,338,FALSE,FALSE,TRUE,TRUE,37116,Rebecca Manor,,Lewishaven,11980,269640
1984,1,1,1,1,1444,1727,attached,484,0,TRUE,FALSE,TRUE,TRUE,5054,Kevin Radial,,Lewishaven,11980,365399
1976,1,2,2,0,1258,1806,detached,376,323,FALSE,FALSE,TRUE,TRUE,60673,Erica Stravenue,,Lewishaven,11980,516597
1957,1,4,3,1,2315,3468,attached,671,0,TRUE,TRUE,TRUE,TRUE,130,Alexis Unions,,Lewishaven,11980,825301
1958,1,4,3,1,2308,3457,attached,670,0,TRUE,TRUE,TRUE,TRUE,130,Alexis Unions,,Lewishaven,11980,868139
1989,1,4,3,0,2802,2794,attached,604,0,TRUE,TRUE,TRUE,TRUE,444,White Ferry,,Lewishaven,11980,818996
1989,1,5,4,0,3747,3746,attached,603,0,TRUE,TRUE,TRUE,TRUE,6737,Moore Loop,,Lewishaven,11980,900897
1980,1,2,2,0,1340,1340,none,0,683,FALSE,FALSE,TRUE,TRUE,25991,Karen Extension,,Lake Christinaport,11549,44101
1972,1,2,1,0,896,1148,none,0,374,FALSE,FALSE,TRUE,TRUE,98922,Smith Turnpike,,Lake Christinaport,11549,37797
1973,1,2,1,0,1154,1148,none,0,531,FALSE,FALSE,TRUE,TRUE,33,Michael Gateway,,Lake Christinaport,11549,28981
1966,1,2,1,0,994,991,none,0,812,FALSE,FALSE,TRUE,TRUE,357,Paul Garden,,Lake Christinaport,11549,41578
1977,1,3,1,1,1595,1843,attached,463,0,TRUE,FALSE,TRUE,TRUE,98112,Wilson Port,,Lewishaven,11980,340199
1975,1,2,1,1,1183,1184,detached,276,231,FALSE,FALSE,TRUE,TRUE,3380,Wilson Port,,Lewishaven,11980,283499
1978,1,3,2,0,1653,1963,attached,437,0,FALSE,FALSE,TRUE,TRUE,8385,Gonzalez Skyway,,Lewishaven,11980,321304
1973,2,2,2,0,1208,1233,none,0,0,FALSE,FALSE,TRUE,TRUE,15623,Cortez Neck,,Lewishaven,11980,180183
1978,1,3,2,0,1649,1960,attached,439,0,FALSE,FALSE,TRUE,TRUE,20666,Lopez Crossing,,Lewishaven,11980,239404
1983,1,3,3,1,3153,3162,attached,582,0,TRUE,TRUE,TRUE,TRUE,81505,Steven Hollow,,Lewishaven,11980,1079819
1977,1,2,2,0,1321,1642,detached,443,0,FALSE,FALSE,TRUE,TRUE,23128,Stephanie Parkways,,Lewishaven,11980,217349
1974,1,3,1,1,1634,2189,none,0,0,TRUE,FALSE,TRUE,TRUE,64831,Kelsey Lodge,,Lewishaven,11980,390604
2005,1,5,3,0,2126,2156,attached,485,0,TRUE,FALSE,TRUE,TRUE,9282,Barber Forges,,Clarkberg,11084,308697
2001,1,3,1,1,1400,1399,attached,442,0,TRUE,FALSE,TRUE,TRUE,370,Nicole Circles,,Clarkberg,11084,264600
1999,1,3,1,1,1280,1280,attached,450,0,FALSE,FALSE,TRUE,TRUE,8304,Nicole Circles,,Clarkberg,11084,258298
2002,1,4,2,0,1455,1451,attached,443,0,FALSE,FALSE,TRUE,TRUE,8095,John Turnpike,,Clarkberg,11084,135449
1950,1,1,1,0,515,1070,none,0,0,TRUE,FALSE,FALSE,FALSE,5036,John Turnpike,,Clarkberg,11084,88200
1987,1,2,1,0,1014,1008,none,0,0,FALSE,FALSE,TRUE,TRUE,4569,Wood Lodge,,Clarkberg,11084,83156
1987,1,2,1,0,1009,1002,none,0,0,FALSE,FALSE,TRUE,TRUE,4569,Wood Lodge,,Clarkberg,11084,211680
2014,1,4,2,0,1883,2136,attached,527,0,TRUE,FALSE,TRUE,TRUE,58556,Lopez Trail,,Clarkberg,11084,340198
1975,1,3,1,1,995,1004,attached,484,0,TRUE,FALSE,TRUE,TRUE,506,David Radial,,Chadstad,10272,350276
1986,1,2,1,1,1317,1565,none,0,0,TRUE,TRUE,TRUE,TRUE,66638,Peter Cove,,Lake Christinaport,11549,200341
1965,1,2,1,1,1555,2518,none,0,0,TRUE,FALSE,FALSE,TRUE,7063,Lee Shoal,,Lake Christinaport,11549,75602
2002,1,3,2,0,1788,1780,detached,488,0,FALSE,FALSE,TRUE,TRUE,1333,Courtney Track,,Lake Christinaport,11549,258301
1993,1,3,3,1,2232,2339,detached,598,0,TRUE,FALSE,TRUE,TRUE,4315,Miles Stream,,West Ann,10748,590937
1993,1,3,2,1,2034,2035,attached,439,0,TRUE,FALSE,TRUE,TRUE,389,Miles Stream,,West Ann,10748,679144
1999,1,3,1,1,2036,2035,attached,498,0,TRUE,TRUE,TRUE,TRUE,17236,Nicole Circles,,West Ann,10748,577076
1973,1,3,2,1,2280,2912,attached,550,0,TRUE,FALSE,TRUE,TRUE,8351,Gomez Inlet,,West Ann,10748,434700
1978,1,3,2,1,2454,3203,detached,596,0,TRUE,FALSE,TRUE,TRUE,57063,Scott Road,,West Ann,10748,396902
1973,1,3,2,1,2401,2892,attached,526,0,TRUE,TRUE,TRUE,TRUE,143,Sanchez Loaf,,West Ann,10748,656460
1983,1,2,1,1,1735,1852,attached,404,0,TRUE,FALSE,TRUE,TRUE,19420,Ronald Dale,,West Ann,10748,264604
1988,2,3,2,1,1799,1810,attached,445,0,TRUE,TRUE,TRUE,TRUE,4168,Denise Ridges,,West Ann,10748,386819
1981,1,3,1,1,1415,1470,attached,444,0,FALSE,TRUE,TRUE,TRUE,6948,Paula Mews,,Lake Christinaport,11203,123476
1977,1,2,1,1,1298,1478,attached,423,0,FALSE,TRUE,TRUE,TRUE,535,Anthony Squares,,Lake Christinaport,11203,170098
2007,1,4,2,0,1871,1881,attached,472,0,TRUE,FALSE,TRUE,TRUE,338,Maldonado Inlet,,Lake Christinaport,11203,245699
2002,1,3,2,1,2462,2851,attached,444,0,TRUE,TRUE,TRUE,TRUE,95064,Holland Street,,West Ann,10748,503998
1994,1,4,2,1,3315,3319,attached,600,0,TRUE,TRUE,TRUE,TRUE,28647,Bryan Land,,West Ann,10748,608580
2000,1,4,2,1,3012,3342,attached,638,0,TRUE,TRUE,TRUE,TRUE,54088,Dominguez Via,,West Ann,10748,995404
2005,1,3,1,1,1598,1677,attached,419,0,FALSE,FALSE,TRUE,TRUE,1873,Stewart Grove,,Lake Christinaport,11203,207902
2003,1,3,2,0,1293,1330,attached,430,0,TRUE,FALSE,TRUE,TRUE,82164,Lori Burgs,,Lake Christinaport,11203,176400
1990,1,5,4,0,2381,2588,attached,838,0,FALSE,FALSE,TRUE,TRUE,365,Jessica Shoals,,Lake Christinaport,11203,226801
2005,1,3,2,0,1615,1609,attached,470,0,TRUE,FALSE,TRUE,TRUE,78716,Long Heights,,Lake Christinaport,11203,207273
2005,1,3,2,0,1733,1821,attached,548,0,TRUE,FALSE,TRUE,TRUE,5197,Long Heights,,Lake Christinaport,11203,189002
2003,1,3,2,0,1318,1345,attached,434,0,TRUE,TRUE,TRUE,TRUE,61626,Simpson Knolls,,Lake Christinaport,11203,248846
2004,1,3,2,0,1539,1599,attached,461,0,TRUE,FALSE,TRUE,TRUE,41047,Aguilar Causeway,,Lake Christinaport,11203,220500
2009,1,6,5,0,3085,3089,attached,1100,0,FALSE,FALSE,TRUE,TRUE,902,Taylor Lakes,,Lake Christinaport,11203,280346
2006,1,6,4,0,2835,3161,attached,950,0,FALSE,FALSE,TRUE,TRUE,64145,Martinez Station,,Lake Christinaport,11203,258296
1991,1,3,2,0,1572,1568,attached,457,0,FALSE,FALSE,TRUE,TRUE,6809,Allen Plain,,Lake Christinaport,11203,195297
2004,1,3,1,1,1639,1724,attached,493,0,TRUE,FALSE,TRUE,TRUE,99099,Jennifer Key,,Lake Christinaport,11203,220503
2005,1,4,2,0,1657,1722,attached,407,0,TRUE,FALSE,TRUE,TRUE,343,Jennifer Key,,Lake Christinaport,11203,195300
1960,1,3,2,0,1178,1582,attached,243,0,FALSE,FALSE,FALSE,FALSE,33160,Cody Ways,,Lake Christinaport,11203,125997
1981,1,3,1,1,1198,1390,attached,477,0,FALSE,FALSE,TRUE,TRUE,57300,Michael Drive,,Lake Christinaport,11203,165058
1963,1,2,1,0,1040,1165,attached,239,0,FALSE,FALSE,TRUE,TRUE,191,Michael Drive,,Lake Christinaport,11203,93238
1957,1,2,1,1,1065,1474,none,0,525,FALSE,FALSE,TRUE,TRUE,82212,Aaron Prairie,,Lake Christinaport,11203,50402
2007,1,3,1,1,1561,1597,attached,525,0,FALSE,FALSE,TRUE,TRUE,24,Aaron Prairie,,Lake Christinaport,11203,161276
1957,1,2,1,0,706,1194,none,0,0,FALSE,TRUE,FALSE,FALSE,698,Wanda Crest,,Lake Christinaport,11203,116553
2005,1,6,4,0,2583,2587,attached,859,0,FALSE,FALSE,TRUE,TRUE,593,Wanda Crest,,Lake Christinaport,11203,183330
1977,1,2,1,0,845,916,detached,477,0,FALSE,FALSE,TRUE,FALSE,91797,Kurt Crescent,,Lake Christinaport,11203,94502
1964,1,2,1,1,1566,2130,none,0,0,FALSE,FALSE,TRUE,TRUE,191,Jones Crescent,1822,Lewishaven,11980,464313
1955,1,2,1,0,956,1497,attached,295,0,FALSE,TRUE,TRUE,TRUE,6063,Veronica Fall,,Lewishaven,11980,226797
1956,1,3,2,0,1638,1881,attached,170,0,FALSE,FALSE,TRUE,TRUE,8481,Kristin Crossroad,,Lewishaven,11980,360363
2006,1,6,4,0,2466,2550,attached,860,0,FALSE,FALSE,TRUE,TRUE,58021,Stevens Crest,,Lake Christinaport,11203,270900
2003,1,3,2,0,1835,2115,attached,462,0,TRUE,FALSE,TRUE,TRUE,7429,Bob Fort,,Lake Christinaport,11203,245702
1945,1,3,2,0,1748,1865,attached,243,0,FALSE,FALSE,FALSE,FALSE,9573,Christopher Ridge,,Lake Christinaport,11203,86943
1985,1,2,1,0,956,954,attached,316,0,FALSE,FALSE,FALSE,FALSE,751,Christopher Ridge,,Lake Christinaport,11203,75597
1945,1,1,1,0,477,528,none,0,351,FALSE,FALSE,FALSE,FALSE,3523,Solis Cape,,Lake Christinaport,11203,45994
1950,1,1,1,0,499,730,none,0,0,TRUE,FALSE,FALSE,FALSE,58108,Solis Cape,,Lake Christinaport,11203,72453
1951,1,1,0,1,242,235,none,0,0,FALSE,FALSE,FALSE,FALSE,58108,Solis Cape,,Lake Christinaport,11203,72447
1949,1,2,2,0,1010,1287,detached,237,0,FALSE,FALSE,FALSE,FALSE,698,Bob Fort,,Lake Christinaport,11203,113398
1948,1,2,0,1,980,1117,none,0,151,TRUE,FALSE,FALSE,FALSE,69474,Williams River,,Lake Christinaport,11203,12604
1993,1,3,1,0,1234,1342,attached,481,0,TRUE,FALSE,TRUE,TRUE,930,Duran Fork,,Lake Christinaport,11203,163799
1982,1,2,1,1,1044,1112,none,0,0,FALSE,FALSE,TRUE,TRUE,991,Marisa Forge,3114,Lake Christinaport,11203,91982
2004,1,3,1,1,1904,2151,attached,715,0,TRUE,FALSE,TRUE,TRUE,27082,Sarah Wall,,Lake Christinaport,11203,207273
2004,1,3,1,1,1904,2142,attached,716,0,TRUE,FALSE,TRUE,TRUE,27082,Sarah Wall,,Lake Christinaport,11203,268379
2004,1,3,2,1,1843,2224,attached,484,0,TRUE,FALSE,TRUE,TRUE,10676,Mahoney Road,,Lake Christinaport,11203,239397
1981,1,3,1,1,1242,1302,attached,461,0,FALSE,FALSE,TRUE,TRUE,50571,Hunt Points,,Lake Christinaport,11203,125997
1994,1,3,1,1,1153,1282,attached,436,0,TRUE,FALSE,TRUE,TRUE,1269,Hunt Points,,Lake Christinaport,11203,138602
1981,1,4,2,0,1244,1629,attached,458,0,FALSE,FALSE,TRUE,TRUE,7504,Kelly Islands,,Lake Christinaport,11203,144899
1989,1,3,2,0,1631,1707,attached,436,0,TRUE,FALSE,TRUE,TRUE,180,Tapia Mews,,Lake Christinaport,11203,211683
2002,1,3,2,0,1576,1566,attached,465,0,TRUE,TRUE,TRUE,TRUE,1395,Weaver Shoal,,Lake Christinaport,11203,260824
2005,1,3,1,1,1778,2060,attached,438,0,TRUE,FALSE,TRUE,TRUE,25188,Aguilar Causeway,,Lake Christinaport,11203,263967
2004,1,3,1,1,1593,1667,attached,438,0,TRUE,FALSE,TRUE,TRUE,6471,Nicole Crest,,Lake Christinaport,11203,226803
1981,1,2,1,1,2167,2689,detached,575,0,FALSE,FALSE,TRUE,TRUE,16,Mccall Well,,Lake Christinaport,11203,88203
1979,1,2,1,1,2161,2677,detached,578,0,FALSE,FALSE,TRUE,TRUE,16,Mccall Well,,Lake Christinaport,11203,129776
1979,1,2,1,1,2160,2681,detached,580,0,FALSE,FALSE,TRUE,TRUE,16,Mccall Well,,Lake Christinaport,11203,161280
1980,1,2,2,1,1380,1653,attached,507,0,FALSE,TRUE,TRUE,TRUE,634,Joseph Park,,Lake Christinaport,11203,157502
2004,1,3,2,0,2157,2156,attached,535,0,TRUE,FALSE,TRUE,TRUE,74893,Thomas Passage,,Lake Christinaport,11203,277203
1991,1,3,1,1,1411,1559,attached,525,0,TRUE,FALSE,TRUE,TRUE,7404,Mcclain Spur,,Lake Christinaport,11203,214202
1989,1,3,1,1,1411,1553,attached,424,0,FALSE,FALSE,TRUE,TRUE,234,Dana Bridge,,Lake Christinaport,11203,187739
1987,1,3,2,1,2066,2219,attached,424,0,TRUE,TRUE,TRUE,TRUE,225,Tina View,,Lewishaven,11071,346497
1985,1,2,1,1,1542,1651,attached,509,0,TRUE,FALSE,TRUE,TRUE,21477,Perry Estates,,Lewishaven,11071,327600
1979,1,3,1,1,1394,1793,attached,609,0,FALSE,TRUE,TRUE,TRUE,5932,Michelle Union,,Lewishaven,11071,304293
1979,1,3,1,1,1400,1788,attached,608,0,FALSE,TRUE,TRUE,TRUE,651,Michelle Union,,Lewishaven,11071,287279
1978,1,2,1,1,1241,1721,attached,503,0,FALSE,TRUE,TRUE,TRUE,36,Michelle Union,,Lewishaven,11071,301139
1977,1,3,1,1,1633,1865,attached,570,0,FALSE,TRUE,TRUE,TRUE,2561,Krista River,,Lewishaven,11071,315000
1978,1,2,1,1,1232,1597,attached,504,0,FALSE,TRUE,TRUE,TRUE,570,Krista River,,Lewishaven,11071,325079
1979,1,2,1,1,1468,1655,attached,524,0,TRUE,TRUE,TRUE,TRUE,40522,Daniel Greens,,Lewishaven,11071,340204
1984,1,3,1,1,1401,1565,attached,483,0,TRUE,FALSE,TRUE,TRUE,361,Jones Grove,,Lewishaven,11071,289798
1985,1,2,1,1,1373,1951,attached,476,0,FALSE,TRUE,TRUE,TRUE,677,Rogers Street,,Lewishaven,11071,319406
1965,1,3,1,1,1730,2330,none,0,326,FALSE,TRUE,TRUE,TRUE,6941,Matthew Points,,Lewishaven,11071,362880
1966,1,3,2,1,2046,2038,attached,213,0,FALSE,FALSE,TRUE,TRUE,9764,Matthew Points,,Lewishaven,11071,277201
1962,1,3,1,1,1333,1528,none,0,231,FALSE,FALSE,TRUE,TRUE,18169,Angela Center,,Lewishaven,11071,274682
1960,1,2,1,1,1067,1493,none,0,243,FALSE,FALSE,TRUE,TRUE,58500,Michelle Streets,,Lewishaven,11071,296101
1960,1,2,1,1,1594,2021,none,0,0,FALSE,FALSE,TRUE,TRUE,324,Jimenez Spur,,Lewishaven,11071,283501
1960,1,2,1,1,1308,2082,none,0,276,FALSE,FALSE,TRUE,TRUE,72972,Johnson Mountain,,Lewishaven,11071,270902
1962,1,3,1,1,1335,1840,none,0,234,FALSE,FALSE,TRUE,TRUE,41292,Frank Vista,,Lewishaven,11071,270897
1961,1,2,1,1,1061,1606,attached,279,0,FALSE,FALSE,TRUE,TRUE,7472,Jones Unions,,Lewishaven,11071,243182
1961,1,2,1,1,1290,1909,none,0,273,FALSE,FALSE,TRUE,TRUE,8074,Jones Unions,,Lewishaven,11071,251996
1973,1,1,1,0,755,856,none,0,0,FALSE,FALSE,FALSE,FALSE,2215,Michelle Streets,2346,Lewishaven,11071,113397
1974,1,1,1,0,747,849,none,0,0,FALSE,FALSE,FALSE,FALSE,14308,Michelle Streets,2614,Lewishaven,11071,113402
1962,1,2,1,1,1336,1649,none,0,232,FALSE,TRUE,TRUE,TRUE,4086,Michelle Streets,,Lewishaven,11071,338942
1961,1,2,1,1,1050,2144,none,0,0,FALSE,TRUE,TRUE,TRUE,4599,Michelle Streets,,Lewishaven,11071,207902
1960,1,2,1,1,1063,1861,attached,271,361,FALSE,TRUE,TRUE,TRUE,279,Frank Vista,,Lewishaven,11071,180177
2007,1,2,1,0,1199,1196,none,0,0,FALSE,FALSE,TRUE,TRUE,65913,Kelly Trail,,South Stevenfurt,11270,202226
1958,1,3,1,1,1297,1296,none,0,417,TRUE,FALSE,TRUE,TRUE,133,Davis Burgs,,South Stevenfurt,11270,409500
2007,1,4,2,0,2230,2447,none,0,0,FALSE,FALSE,TRUE,TRUE,186,Knight Loop,,South Stevenfurt,11270,277196
1983,1,3,2,0,1900,1908,none,0,0,FALSE,FALSE,TRUE,FALSE,65133,Wilson Via,,South Stevenfurt,11270,230576
1988,2,2,2,1,2250,2247,none,0,0,TRUE,TRUE,TRUE,TRUE,1510,Gary Extension,,South Stevenfurt,11270,850502
1990,2,1,1,1,1114,1250,attached,1111,0,FALSE,FALSE,FALSE,FALSE,1510,Gary Extension,,South Stevenfurt,11270,850497
2015,1,4,3,1,5489,6574,attached,1019,0,TRUE,FALSE,TRUE,TRUE,24346,Kimberly Mount,,Richardport,11619,1196998
2008,1,4,3,1,4096,4607,attached,748,0,TRUE,TRUE,TRUE,TRUE,941,Baldwin Brooks,,Richardport,11619,2381399
2006,1,4,3,1,3762,4256,attached,660,0,TRUE,TRUE,TRUE,TRUE,33828,Murray Dale,,Richardport,11619,1644296
2006,1,4,3,1,4301,5078,attached,802,0,TRUE,TRUE,TRUE,TRUE,498,Kenneth Place,,Richardport,11619,2457004
2005,1,3,3,0,2790,3049,attached,499,0,TRUE,TRUE,TRUE,TRUE,742,Rodriguez Estate,,West Ann,10748,806400
1998,1,2,1,1,1785,1891,attached,446,0,TRUE,FALSE,TRUE,TRUE,888,Linda Wall,,Lewishaven,11071,376743
2003,1,3,2,0,1840,2025,attached,434,0,TRUE,FALSE,TRUE,TRUE,7905,Hughes Terrace,,Lewishaven,11071,396897
1986,1,1,1,1,1234,1538,attached,443,0,TRUE,FALSE,TRUE,TRUE,22408,Adam Brooks,,Lewishaven,11071,327604
1988,1,2,1,1,1010,1024,none,0,0,FALSE,FALSE,TRUE,TRUE,57139,Martinez Manor,2823,Lewishaven,11071,214201
1997,1,3,2,1,2549,2546,attached,677,0,TRUE,TRUE,TRUE,TRUE,68774,Rachel Courts,,Richardport,11619,881996
1988,1,3,2,0,1620,1626,attached,438,0,TRUE,TRUE,TRUE,TRUE,31352,Jones Grove,,Richardport,11619,498327
1988,1,2,2,1,2859,3252,attached,566,0,TRUE,TRUE,TRUE,TRUE,728,Kristen Inlet,,Richardport,11619,787498
1985,1,2,3,1,2859,2967,attached,633,0,TRUE,FALSE,TRUE,TRUE,392,Kristina Stream,,Richardport,11619,472498
